81,-98.165611,40.84354,3.2,57.3,566.272
82,-98.165588,40.843552,2.8,54.6,566.25
83,-98.165558,40.843567,3.7,84.3,566.234
84,-98.165527,40.843575,3.4,101.5,566.214
85,-98.165482,40.843578,3.2,58.7,566.196
86,-98.165443,40.843582,3.3,81.1,566.159
87,-98.165413,40.843582,4.4,85.5,566.122
88,-98.165375,40.843582,4.4,98.1,566.085
89,-98.165329,40.843582,5.3,107.4,566.055
90,-98.165291,40.843586,6,103.5,566.021
91,-98.165253,40.843582,6,87.4,565.984
92,-98.165207,40.843582,5.7,75.1,565.947
93,-98.165161,40.843586,6.5,55.6,565.894
94,-98.165123,40.843586,7.1,55.8,565.843
95,-98.165085,40.843586,7,70.6,565.791
96,-98.165031,40.843586,8.1,80.1,565.733
97,-98.164978,40.843586,8.3,87.5,565.673
98,-98.164932,40.843586,7.5,94.9,565.627
99,-98.164886,40.843586,7,81.7,565.56
100,-98.164841,40.843586,6.7,92.1,565.489
101,-98.164787,40.84359,6.5,80,565.435
102,-98.164734,40.84359,6.2,98.2,565.373
103,-98.164688,40.84359,5.7,74.7,565.311
104,-98.164642,40.84359,6,82.2,565.245
105,-98.164597,40.84359,6.1,81.8,565.169
106,-98.164543,40.84359,5.9,43.2,565.093
107,-98.16449,40.84359,5.8,55.1,565.03
108,-98.164444,40.84359,6,24,564.945
109,-98.164398,40.84359,5.9,24.7,564.848
110,-98.164337,40.843594,7.4,7.4,564.768
111,-98.164284,40.843594,7.8,11.1,564.682
112,-98.164246,40.843594,7.3,7.4,564.578
113,-98.1642,40.843594,8.7,74.7,564.469
114,-98.164154,40.843594,9.2,74.9,564.354
115,-98.164108,40.843594,8.2,77.2,564.229
116,-98.164055,40.843594,8,92.5,564.081
117,-98.164001,40.843594,8.1,76.8,563.928
118,-98.163956,40.843594,8,71.1,563.781
119,-98.16391,40.843594,8.6,66.2,563.617
120,-98.163864,40.843594,6.7,60.1,563.417
121,-98.163826,40.843594,8.3,62.6,563.198
122,-98.163773,40.843594,8.9,78.1,562.967
123,-98.163727,40.843594,8,24.5,562.714
124,-98.163689,40.843597,7.9,38.6,562.45
125,-98.163651,40.843601,7.2,40.5,562.209
126,-98.163597,40.843601,7.1,86.5,562.044
127,-98.163559,40.843601,7.2,76.7,561.938
128,-98.163528,40.843601,7.5,56.8,561.841
129,-98.16349,40.843605,7.4,35.6,561.766
130,-98.16346,40.843605,5.8,4.5,561.728
131,-98.163429,40.843605,5.5,15.2,561.683
132,-98.163391,40.843605,6.3,33.5,561.629
133,-98.163361,40.843597,6.7,41.5,561.576
134,-98.16333,40.84359,6.7,46,561.506
135,-98.1633,40.843582,7.1,61.6,561.405
136,-98.163269,40.843578,8,80.1,561.257
137,-98.163231,40.843582,8.2,71.1,561.24
138,-98.1632,40.843586,6.5,57.8,561.407
139,-98.16317,40.843597,6.5,52.2,561.526
140,-98.163132,40.843605,6.2,32.7,561.548
141,-98.163101,40.843605,6.8,61.9,561.58
142,-98.163071,40.843609,6.9,72.3,561.631
143,-98.163025,40.843609,7.2,61.7,561.68
144,-98.162987,40.843609,7,48.4,561.734
145,-98.162956,40.843609,6.6,48.3,561.807
146,-98.162918,40.843605,6.1,46.1,561.904
147,-98.162872,40.843605,6.5,4.1,562.029
148,-98.162842,40.843605,7.6,15.9,562.192
149,-98.162796,40.843605,7.8,64.9,562.371
150,-98.162758,40.843605,8.5,76.5,562.562
151,-98.16272,40.843605,9.2,74.3,562.75
152,-98.162674,40.843605,8.6,65.7,562.94
153,-98.162628,40.843605,9.4,65.7,563.12
154,-98.16259,40.843609,9.6,76.2,563.265
155,-98.162537,40.843609,9.6,84.1,563.381
156,-98.162491,40.843609,7.9,92.4,563.489
157,-98.16243,40.843609,6.8,81.4,563.581
158,-98.162376,40.843609,6,75.4,563.643
159,-98.162331,40.843609,4.8,50.5,563.697
160,-98.162277,40.843609,4.8,54.5,563.735
161,-98.162216,40.843613,5.1,68.2,563.771
162,-98.162155,40.843613,5.2,79.7,563.817
163,-98.162102,40.843613,5.2,80.7,563.859
164,-98.162048,40.843613,4.6,89.6,563.908
165,-98.161987,40.843613,4.7,68.5,563.954
166,-98.161926,40.843613,5,66.7,564.006
167,-98.161873,40.843613,4.9,87.9,564.052
168,-98.161819,40.843613,5.7,114.6,564.087
169,-98.161766,40.843613,6,55.2,564.121
170,-98.161713,40.843616,6.4,15.8,564.154
171,-98.161667,40.843616,6,6.4,564.198
172,-98.161606,40.843616,5.6,8.3,564.237
173,-98.161545,40.843616,5.7,6.9,564.277
174,-98.161499,40.843616,5.3,13.4,564.315
175,-98.161453,40.843616,5.2,21,564.352
176,-98.1614,40.843616,5.3,7.6,564.396
